year,month,date,district,period,location,count,caseNo,content,source
113,11,113/11/01,樹林區,下午,樹林區 樹林區學勤路 / 學成路與佳園路三段,1,H241101-2330,樹林區學勤路、學成路與佳園路三段周邊，傍晚經常有改裝車行駛，造成居民困擾，請單位增設科技執法設備以取締此情。,1999市政信箱
113,11,113/11/01,泰山區,夜間,泰山區 泰林路一段 / 中環路,1,J241101-4415,泰林路一段 中環路靠塭仔圳（新泰 ＆港泰自辦重劃區附近）最近入住塭仔圳一段時間 常常半夜聽到汽機車改管的噪音聲（非常大聲） 是否可以請相關單位協助或是設定定點噪音取締的方式制止呢？,1999市政信箱
113,11,113/11/02,中和區,夜間,中和區 本路段 / 道路,1,J241102-4366,本路段全日高速車輛多，造成日常生活嚴重噪音跟身心壓力，而且住家門前，對行人而言幾乎無法安全行走，只能不斷退避閃躲高速迎面而來的高速車輛，很希望能改善噪音問題，或是透過交通號誌、道路相關規劃降低車速，讓住戶有基本的生活品質，晚上可以睡覺，出門可以放心行走，非常謝謝市長,1999市政信箱
113,11,113/11/02,三峽區,夜間,三峽區 在大同路與大同路88巷口經常有改裝排氣管汽車與機車炸街 / 在深夜也很常故意拉轉速炸街,1,J241102-4329,在大同路與大同路88巷口經常有改裝排氣管汽車與機車炸街，在深夜也很常故意拉轉速炸街，在大同路口就有立排子「有聲音照像」但好像完全沒用，三峽根本沒看過有在抓排氣管炸街，請加強取締，謝謝。,1999市政信箱
113,11,113/11/02,林口區,夜間,林口區 地點：林口頂福嚴周遭及工一工業區113/10/24日凌晨,1,B241102-0008,地點：林口頂福嚴周遭及工一工業區113/10/24日凌晨1點-4點飆車族橫行，產生噪音，擾人無法入眠，113/11/02凌晨1點-3點飆車族 產生噪音 連續2週飆車族橫行，希望轄區派出所增加每週五六日凌晨，加強上述地點巡邏,1999市政信箱
113,11,113/11/02,新莊區,夜間,新莊區 新莊區思源路與新北大道二段 / 至思源路與頭前路,1,H241101-2336,新莊區思源路與新北大道二段口、至思源路與頭前路口，上址一帶經常於晚間22:00至隔日凌晨03:00，有改裝汽機車行駛噪音問題，故請單位加強取締。,1999市政信箱
113,11,113/11/03,泰山區,未註明,泰山區 泰山區民權街,1,H241103-2302,泰山區民權街53號，該址全家超商常有青少年群聚、測試改裝機車妨害安寧，請單位加強取締。,1999市政信箱
113,11,113/11/03,林口區,夜間,林口區 108縣道南勢街,1,J241103-4047,"108縣道南勢街最近從星期五晚上開始,星期六日晚都有人半夜飆車,越來越嚴重,半夜無法入眠或被車聲吵醒,明顯噪音但完全沒有警方實施取締,希望相關單位作為,謝謝",1999市政信箱
113,11,113/11/03,泰山區,夜間,泰山區 泰山區大科路 / 故請單位於上述時段,1,H241103-2017,泰山區大科路，位於黎民技術學院附近、泰山往五股方向，近日於凌晨04:00許至05:00許期間會有改裝車輛行駛、影響鄰近住戶安寧，故請單位於上述時段設置攔檢站稽查，或評估設置聲音照相測速儀器。,1999市政信箱
113,11,113/11/03,林口區,未註明,林口區 林口區文化三路二段與中山路,1,H241103-2015,林口區文化三路二段與中山路交叉口，經常改裝車呼嘯而過，請相關單位設置科技執法設備取締。,1999市政信箱
113,11,113/11/03,林口區,夜間,林口區 林口區文化北路二段 / 該處目前有開闢一條新道路,1,H241103-2011,林口區文化北路二段「林口工一工業區」附近、往下福及頂福方向，該處目前有開闢一條新道路(民眾不確定路名)，長期凌晨01:00後會有改裝車輛行駛、以致噪音擾鄰，該處雖裝有監視攝影器、但未達到嚇阻作用，民眾也反映許久但仍未改善。故請單位於上述時段設置攔檢站加強稽查；另因該處轄區警力嚴重不足且派出所距離較遠，故建議林口分局能增派其他派出所的警力支援。,1999市政信箱
113,11,113/11/03,八里區,夜間,八里區 八里區龍米路一段,1,H241103-2006,八里區龍米路一段198號一帶，經常於凌晨01:30過後有改裝車來回飆車並製造聲響擾寧，請相關單位加強取締。,1999市政信箱
113,11,113/11/03,中和區,夜間,中和區 晚上都很喜歡在這條馬路 / 這段路因為是大直線,1,J241103-4013,經多次檢舉過相關噪音問題了，但沒有看到任何相關措施，我們一家人依然每天受改管噪音所苦，不管汽機車，晚上都很喜歡在這條馬路飆車，想請市長幫忙，拜託您了，我們一家都有些微憂鬱症傾向了。 這段路因為是大直線，以至於晚上有非常多不良分子以及流氓聚集於全家中和莒城門市，並且酗酒、鬥毆，影響到這裡的住戶，而且還會故意催油門試圖挑釁路人並嚴重影響睡眠，也造成心理疾病，這條路旁就是警察局以及消防局，但不知道為甚麼永遠都沒有作為，想請市長幫忙設置噪音計以及測速照相，並請警消同仁幫忙管理安寧，感謝。,1999市政信箱
113,11,113/11/03,板橋區,夜間,板橋區 多輛汽車行駛該路段 / 煩請更改至這時段,1,J241103-4008,改管飆車頻繁半夜出沒，請加強取締 連續多天半夜12點至2點，多輛汽車行駛該路段飆車導致聲音過大致無法入睡。 晚上10點多有看到員警巡邏此區但並未能看見其效果，煩請更改至這時段加強巡邏，以遏止其群眾認為該路段可隨意飆車之行為。,1999市政信箱
113,11,113/11/05,板橋區,夜間,板橋區 板橋 / 永翠路及香社一路,1,J241105-4569,板橋區 永翠路及香社一路 懇請長官們，在業務容許下，來這裡定點巡邏！每天晚上🌃被噪音車吵得睡不著！,1999市政信箱
